reaction	keff
3HAD160	65
1P2CBXLR	65
1PPDCRc	65
1PY4h3cAH	65
23CTI1	65
23CTI2	65
23CTI3	65
24DECOAR	65
2AACLPGT160	65
2AACLPGT161	65
2AACLPGT180	65
2AACLPGT181	65
2AACLPPEAT160	65
2AACLPPEAT161	65
2AACLPPEAT180	65
2AACLPPEAT181	65
2AGPE160tipp	65
2AGPE161tipp	65
2AGPE180tipp	65
2AGPE181tipp	65
2AGPG160tipp	65
2AGPG161tipp	65
2AGPG180tipp	65
2AGPG181tipp	65
2DHGLCK	65
2DHGLCNkt_tpp	65
34HPPOR	65
3AIBT2	65
3HAACOAT100	65
3HAACOAT120	65
3HAACOAT121	65
3HAACOAT140	65
3HAACOAT141	65
3HAACOAT60	65
3HAACOAT80	65
3HAD100	65
3HAD120	65
3HAD121	65
3HAD140	65
3HAD141	65
ACOAD31f	65
ACOAD32f	65
ACOAD33f	65
ACOAD34f	65
ACOAD3f	65
ACOAD4f	65
ACOAD5f	65
ACOAD6f	65
ACOAD7f	65
ACOAD8f	65
ACOATA	65
ACODA	65
ACONCt4pp	65
ACONCtex	65
ACONMT	65
ACONTa	65
ACONTb	65
ACOTA	65
ACPPAT120	65
ACPPAT140	65
ACPPAT141	65
ACPPAT160	65
ACPPAT161	65
ACPPAT180	65
ACPPAT181	65
ACPS1	65
ACS	65
ACS2	65
ACSERtpp	65
ACSPHAC100	65
ACSPHAC101	65
ACSPHAC120	65
ACSPHAC121	65
ACSPHAC121d6	65
ACSPHAC140	65
ACSPHAC141	65
ACSPHAC141d5	65
ACSPHAC142	65
ACSPHAC160	65
ACSPHAC40	65
ACSPHAC50	65
ACSPHAC60	65
ACSPHAC70	65
ACSPHAC80	65
ACSPHAC90	65
ACSPHACP100	65
ACSPHACP40	65
ACSPHACP50	65
ACSPHACP60	65
ACSPHACP70	65
ACSPHACP80	65
ACSPHACP90	65
ACSPHACT40	65
ACSPHACT60	65
ALGE9	65
ALGL	65
ALGL2	65
ALGSex1	65
ALGSex10	65
ALGSex11	65
ALGSex12	65
ALGSex13	65
ALGSex2	65
ALGSex3	65
ALGSex4	65
ALGSex5	65
ALGSex6	65
ALGSex7	65
ALGSex8	65
ALGSex9	65
ALLTAMH	65
ALLTN	65
ALLTNRA	65
ALLTNt2rpp	65
ALPATE160pp	65
ALPATE161pp	65
ALPATE180pp	65
ALPATE181pp	65
ALPATG160pp	65
ALPATG161pp	65
ALPATG180pp	65
ALPATG181pp	65
ALTRH	65
AM3PA	65
AM4PA	65
AM4PCP	65
AMAOTr	65
AMID4	65
AMPMS2	65
AMPN	65
AMPTASEAH	65
AMPTASEAL	65
AMPTASEAT	65
AMPTASEATRP	65
AMPTASECG	65
GLYGLYCNc	65
AMPTASEGGLN	65
AMPTASEGGLU	65
AMPTASEGM	65
GLYPHEHYc	65
AMPTASEGS	65
AMPTASEHG	65
AMPTASEHH	65
LEULEULAPc	65
AMPTASEPG	65
ANHMK	65
ANPRT	65
ANS	65
ANS2	65
AOXSr2	65
AP4AH	65
AP4AS	65
APATr	65
APCt5	65
APCt6	65
APENTAMAH2	65
APG3PAT120	65
APG3PAT140	65
APG3PAT141	65
APG3PAT160	65
APG3PAT161	65
APG3PAT180	65
APG3PAT181	65
APRAUR	65
APSR	65
APSR2	65
APTNAT	65
ARBTNabcpp	65
ARBTNtonex	65
ARBt3ipp	65
ARGDr	65
ARGDC	65
ARGDCpp	65
ARGORNt7pp	65
ARGSL	65
ARGSS	65
ARGTRS	65
ARGabcpp	65
ARGt2pp	65
ARGtex	65
AROH	65
ARUH	65
ASAD	65
ASNN	65
ASNNpp	65
ASNS1	65
ASO3t2pp	65
ASO4rt2rpp	65
ASP3H	65
ASPCT	65
ASPK	65
ASPO1	65
ASPO3	65
ASPO5	65
ASPO6	65
ASPSALy	65
ASPT	65
BZDIOLDH	65
BZt1pp	65
BZt2_pp	65
BZtex	65
