m_name,me_name
ACP_c,G1G01-2027-MONOMER
3haACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3ha
3hcddec5eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hcddec5e
3hcmrs7eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hcmrs7e
3hcpalm9eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hcpalm9e
3hcvac11eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hcvac11e
3hddecACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hddec
3hdecACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hdec
3hhexACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hhex
3hmrsACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hmrs
3hoctACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hoct
3hoctaACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hocta
3hpalmACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3hpalm
3ocddec5eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3ocddec5e
3ocmrs7eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3ocmrs7e
3ocpalm9eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3ocpalm9e
3ocvac11eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3ocvac11e
3oddecACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3oddec
3odecACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3odec
3ohexACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3ohex
3omrsACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3omrs
3ooctACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3ooct
3ooctdACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3ooctd
3opalmACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_3opalm
acACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_ac
actACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_act
apoACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_apo
but2eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_but2e
butACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_but
cddec5eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_cddec5e
cdec3eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_cdec3e
dcaACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_dca
ddcaACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_ddca
egmeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_egme
epmeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_epme
gmeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_gme
hdeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_hde
hexACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_hex
hgmeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_hgme
hpmeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_hpme
malACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_mal
myrsACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_myrs
ocACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_oc
ocdcaACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_ocdca
octeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_octe
ogmeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_ogme
opmeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_opme
palmACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_palm
pimACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_pim
pmeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_pme
t3c11vaceACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_t3c11va
t3c5ddeceACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_t3c5ddece
t3c7mrseACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_t3c7mrse
t3c9palmeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_t3c9palme
tddec2eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_tddec2e
tdeACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_tde
tdec2eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_tdec2e
thex2eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_thex2e
tmrs2eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_tmrs2e
toct2eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_toct2e
toctd2eACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_toctd2e
lipoACP_c,G1G01-2027-MONOMER_mod_pan4p_mod_lipo
octapb_c,eliminate
lipopb_c,eliminate
C_4fe4s_c,G1G01-5137_mod_2:4fe4s
C_2fe2s_c,G1G01-5137_mod_1:2fe2s_mod_1:4fe4s
trdox_c,G1G01-559-MONOMER_mod_Oxidized
trdrd_c,G1G01-559-MONOMER
grxox_c,G1G01-5398-MONOMER_mod_Oxidized
grxrd_c,G1G01-5398-MONOMER
fldox_c,G1G01-928-MONOMER_mod_Oxidized
fldrd_c,G1G01-928-MONOMER
asntrna_AAU_c,generic_tRNA_AAU_asn__L_c
asntrna_AAC_c,generic_tRNA_AAC_asn__L_c
alatrna_c,eliminate
argtrna_c,eliminate
asptrna_c,generic_tRNA_GAU_asp__L_c
cystrna_c,eliminate
fmettrna_c,eliminate
glntrna_c,eliminate
glutrna_c,generic_tRNA_GAG_glu__L_c
glutrna_gln_c,eliminate
glytrna_c,eliminate
histrna_c,eliminate
iletrna_c,eliminate
leutrna_c,eliminate
lystrna_c,eliminate
mettrna_c,eliminate
phetrna_c,eliminate
protrna_c,eliminate
sectrna_c,eliminate
sertrna_c,eliminate
sertrna_sec_c,eliminate
thrtrna_c,eliminate
trnaala_c,eliminate
trnaarg_c,eliminate
trnaasp_c,eliminate
trnaasp_preq34_c,eliminate
trnaaspq_c,eliminate
trnaaspqo_c,eliminate
trnacys_c,eliminate
trnagln_c,eliminate
trnaglu_c,eliminate
