m_name,me_name
trnagly_c,eliminate
trnahis_c,eliminate
trnahis_preq34_c,eliminate
trnahisq_c,eliminate
trnahisqo_c,eliminate
trnaile_c,eliminate
trnaleu_c,eliminate
trnalys_c,eliminate
trnamet_c,eliminate
trnaphe_c,eliminate
trnapro_c,eliminate
trnasecys_c,eliminate
trnaser_c,eliminate
trnathr_c,eliminate
trnatrp_c,eliminate
trnatyr_c,eliminate
trnatyr_preq34_c,eliminate
trnatyrq_c,eliminate
trnatyrqo_c,eliminate
trnaval_c,eliminate
trptrna_c,eliminate
tyrtrna_c,eliminate
valtrna_c,eliminate
iscs_c,G1G01-917-MONOMER_mod_pydx5p(2)
iscssh_c,G1G01-917-MONOMER_mod_pydx5p(2)_mod_SH(1)
iscu_c,G1G01-918-MONOMER
iscu_2fe2s2_c,G1G01-918-MONOMER_mod_2fe2s(2)
iscu_2fe2s_c,G1G01-918-MONOMER_mod_2fe2s(2)
iscu_4fe4s_c,G1G01-918-MONOMER_mod_4fe4s(1)
