Reaction	Complexes
13PPDH2_1	G1G01-2668-MONOMER
14BDAL	CPLX_14BDAL-0
1P2CBXLR	G1G01-3828-MONOMER
1PPDCRc	G1G01-3828-MONOMER
1PY4h3cAH	G1G01-1344-MONOMER
23CTI1	CPLX-9268
23CTI2	CPLX-9268
23CTI3	CPLX-9268
24DECOAR	G1G01-2142-MONOMER
2AACLPGT160	G1G01-1797-MONOMER
2AACLPGT161	G1G01-1797-MONOMER
2AACLPGT180	G1G01-1797-MONOMER
2AACLPGT181	G1G01-1797-MONOMER
2AACLPPEAT160	G1G01-1797-MONOMER
2AACLPPEAT161	G1G01-1797-MONOMER
2AACLPPEAT180	G1G01-1797-MONOMER
2AACLPPEAT181	G1G01-1797-MONOMER
2AGPE160tipp	G1G01-1797-MONOMER
2AGPE161tipp	G1G01-1797-MONOMER
2AGPE180tipp	G1G01-1797-MONOMER
2AGPE181tipp	G1G01-1797-MONOMER
2AGPG160tipp	G1G01-1797-MONOMER
2AGPG161tipp	G1G01-1797-MONOMER
2AGPG180tipp	G1G01-1797-MONOMER
2AGPG181tipp	G1G01-1797-MONOMER
2DHGLCK	G1G01-3609-MONOMER
2DHGLCNkt_tpp	G1G01-3608-MONOMER
2HESR	G1G01-3111-MONOMER
34HPPOR	G1G01-3666-MONOMER
3AIBT2	G1G01-647-MONOMER
3HAACOAT100	G1G01-1499-MONOMER
3HAACOAT120	G1G01-1499-MONOMER
3HAACOAT121	G1G01-1499-MONOMER
3HAACOAT140	G1G01-1499-MONOMER
3HAACOAT141	G1G01-1499-MONOMER
3HAACOAT60	G1G01-1499-MONOMER
3HAACOAT80	G1G01-1499-MONOMER
3HAD100	G1G01-1699-MONOMER OR G1G01-4440-MONOMER
3HAD120	G1G01-4440-MONOMER OR G1G01-1699-MONOMER
3HAD121	G1G01-4440-MONOMER OR G1G01-1699-MONOMER
3HAD140	G1G01-1699-MONOMER OR G1G01-4440-MONOMER
3HAD141	G1G01-4440-MONOMER OR G1G01-1699-MONOMER
3HAD160	G1G01-1699-MONOMER OR G1G01-4440-MONOMER
3HAD161	G1G01-4440-MONOMER OR G1G01-1699-MONOMER
3HAD180	G1G01-1699-MONOMER OR G1G01-4440-MONOMER
3HAD181	G1G01-1699-MONOMER OR G1G01-4440-MONOMER
3HAD40	G1G01-1699-MONOMER OR G1G01-4440-MONOMER
3HAD60	G1G01-4440-MONOMER OR G1G01-1699-MONOMER
3HAD80	G1G01-1699-MONOMER OR G1G01-4440-MONOMER
3HLYTCL	G1G01-2735-MONOMER
