pathway	enzyme
sec	G1G01-5397-MONOMER
sec	G1G01-1433-MONOMER
sec	Sec-CPLX
tat	TatBC_octa
tat	CPLX1G01-59
bam	G1G01-440-MONOMER
bam	Bam-CPLX
lol	LolCDE-CPLX
lol	G1G01-4270-MONOMER
lol	G1G01-799-MONOMER
yidC	SRP-CPLX
yidC	G1G01-6-MONOMER
secA	G1G01-1433-MONOMER
srp_yidC	SRP-CPLX
srp_yidC	G1G01-6-MONOMER
srp_yidC	Sec-CPLX
srp	SRP-CPLX
srp	G1G01-5455-MONOMER
srp	Sec-CPLX
tat_alt	TatBC_octa
