ID,Bound
#Glucose
EX_glc__D_e,-5
# Base definition
EX_pi_e,-100
EX_na1_e,-100
EX_cl_e,-100
EX_nh4_e,-100
EX_mg2_e,-100
EX_so4_e,-100
EX_k_e,-100
EX_fe2_e,-100
EX_ca2_e,-100

# Tap water
EX_ni2_e,-100
EX_mn2_e,-100
EX_sel_e,-100
EX_tungs_e,-100
EX_zn2_e,-100
EX_mobd_e,-100
EX_cu2_e,-100
EX_cobalt2_e,-100

# Others
EX_h_e,-100
EX_h2o_e,-100
EX_o2_e,-100
