,value
CPLX1G01-176,RNAP_CPLX1G01176
CPLX1G01-177,RNAP_CPLX1G01177
CPLX1G01-182,RNAP_CPLX1G01182
G1G01-1026-MONOMER,RNAP_G1G011026MONOMER
G1G01-1067-MONOMER,RNAP_G1G011067MONOMER
G1G01-1081-MONOMER,RNAP_G1G011081MONOMER
G1G01-1519-MONOMER,RNAP_G1G011519MONOMER
G1G01-1720-MONOMER,RNAP_G1G011720MONOMER
G1G01-177-MONOMER,RNAP_G1G01177MONOMER
G1G01-2226-MONOMER,RNAP_G1G012226MONOMER
G1G01-2333-MONOMER,RNAP_G1G012333MONOMER
G1G01-3068-MONOMER,RNAP_G1G013068MONOMER
G1G01-3189-MONOMER,RNAP_G1G013189MONOMER
G1G01-3282-MONOMER,RNAP_G1G013282MONOMER
G1G01-3814-MONOMER,RNAP_G1G013814MONOMER
G1G01-386-MONOMER,RNAP_G1G01386MONOMER
G1G01-424-MONOMER,RNAP_G1G01424MONOMER
G1G01-4477-MONOMER,RNAP_G1G014477MONOMER
G1G01-4517-MONOMER,RNAP_G1G014517MONOMER
G1G01-4619-MONOMER,RNAP_G1G014619MONOMER
G1G01-4861-MONOMER,RNAP_G1G014861MONOMER
G1G01-4916-MONOMER,RNAP_G1G014916MONOMER
G1G01-4920-MONOMER,RNAP_G1G014920MONOMER
G1G01-5452-MONOMER,RNAP_G1G015452MONOMER
G1G01-739-MONOMER,RNAP_G1G01739MONOMER
G1G01-778-MONOMER,RNAP_G1G01778MONOMER
G1G01-940-MONOMER,RNAP_G1G01940MONOMER
