,value
PP_0001,TU1G01-10
PP_0002,TU1G01-10
PP_0003,TU1G01-10
PP_0004,TU1G01-10
PP_0005,TU1G01-12
PP_0006,TU1G01-14
PP_0007,TU1G01-14
PP_0008,TU1G01-14
PP_0009,TU1G01-14
PP_0010,TU1G01-16
PP_0011,TU1G01-16
PP_0012,TU1G01-16
PP_0013,TU1G01-16
PP_0014,TU1G01-18
PP_0015,TU1G01-18
PP_0016,TU1G01-20
PP_0017,TU1G01-22
PP_0018,TU1G01-24
PP_0019,TU1G01-24
PP_0020,TU1G01-24
PP_0021,TU1G01-26
PP_0022,TU1G01-28
PP_0023,TU1G01-30
PP_0024,TU1G01-32
PP_0025,TU1G01-34
PP_0026,TU1G01-36
PP_0027,TU1G01-38
PP_0028,TU1G01-7434
PP_0029,TU1G01-42
PP_0030,TU1G01-42
PP_0031,TU1G01-7432
PP_0032,TU1G01-7430
PP_0033,TU1G01-44
PP_0034,TU1G01-44
PP_0035,TU1G01-44
PP_0036,TU1G01-46
PP_0037,TU1G01-48
PP_0039,TU1G01-50
PP_0040,TU1G01-52
PP_0041,TU1G01-54
PP_0042,TU1G01-56
PP_0043,TU1G01-58
PP_0044,TU1G01-58
PP_0045,TU1G01-60
PP_0046,TU1G01-62
PP_0047,TU1G01-64
PP_0048,TU1G01-66
PP_0049,TU1G01-70
PP_0050,TU1G01-72
PP_0051,TU1G01-74
PP_0052,TU1G01-76
PP_0053,TU1G01-76
PP_0054,TU1G01-76
PP_0055,TU1G01-7428
PP_0056,TU1G01-78
PP_0057,TU1G01-80
PP_0058,TU1G01-82
PP_0059,TU1G01-84
PP_0060,TU1G01-84
PP_0061,TU1G01-84
PP_0062,TU1G01-86
PP_0063,TU1G01-88
PP_0064,TU1G01-90
PP_0065,TU1G01-90
PP_0066,TU1G01-90
PP_0067,TU1G01-90
PP_0068,TU1G01-92
PP_0069,TU1G01-94
PP_0070,TU1G01-96
PP_0071,TU1G01-100
PP_0072,TU1G01-7426
PP_0073,TU1G01-102
PP_0074,TU1G01-102
PP_0075,TU1G01-104
PP_0076,TU1G01-106
PP_0077,TU1G01-106
PP_0079,TU1G01-7424
PP_0080,TU1G01-7422
PP_0081,TU1G01-7420
PP_0082,TU1G01-108
PP_0083,TU1G01-108
PP_0084,TU1G01-7418
PP_0085,TU1G01-7416
PP_0086,TU1G01-110
PP_0087,TU1G01-112
PP_0088,TU1G01-7414
PP_0089,TU1G01-114
PP_0090,TU1G01-114
PP_0091,TU1G01-116
PP_0092,TU1G01-118
PP_0093,TU1G01-7412
PP_0094,TU1G01-120
PP_0095,TU1G01-122
PP_0096,TU1G01-124
PP_0097,TU1G01-124
PP_0098,TU1G01-124
PP_0099,TU1G01-126
PP_0100,TU1G01-128
PP_0101,TU1G01-130
PP_0103,TU1G01-132
PP_0104,TU1G01-134
PP_0105,TU1G01-134
PP_0106,TU1G01-134
PP_0107,TU1G01-136
PP_0108,TU1G01-136
PP_0109,TU1G01-136
PP_0110,TU1G01-136
PP_0111,TU1G01-136
PP_0112,TU1G01-138
PP_0113,TU1G01-140
PP_0114,TU1G01-140
PP_0115,TU1G01-7406
PP_0116,TU1G01-142
PP_0117,TU1G01-7456
PP_0118,TU1G01-144
PP_0119,TU1G01-144
PP_0120,TU1G01-7404
PP_0121,TU1G01-146
PP_0122,TU1G01-148
PP_0123,TU1G01-150
PP_0124,TU1G01-7402
PP_0125,TU1G01-154
PP_0126,TU1G01-154
PP_0127,TU1G01-156
PP_0128,TU1G01-156
PP_0129,TU1G01-156
PP_0130,TU1G01-158
PP_0131,TU1G01-160
PP_0132,TU1G01-162
PP_0133,TU1G01-162
PP_0134,TU1G01-164
PP_0135,TU1G01-168
PP_0136,TU1G01-168
PP_0137,TU1G01-170
PP_0138,TU1G01-172
PP_0139,TU1G01-174
PP_0140,TU1G01-174
PP_0141,TU1G01-174
PP_0142,TU1G01-174
PP_0143,TU1G01-176
PP_0144,TU1G01-178
PP_0145,TU1G01-178
PP_0146,TU1G01-180
PP_0147,TU1G01-182
