Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
G1G01-1371-MONOMER,Outer_Membrane,PP_1284(),Outer_Membrane,s
G1G01-2960-MONOMER,Inner_Membrane,PP_2780(),Inner_Membrane,s
G1G01-5028-MONOMER,Periplasm,PP_4707(),Periplasm,s
G1G01-5711-MONOMER,Inner_Membrane,PP_5355(),Inner_Membrane,s
G1G01-2604-MONOMER,Membrane,PP_5523(),Membrane,s
G1G01-1696-MONOMER,Outer_Membrane,PP_1599(),Outer_Membrane,s
G1G01-362-MONOMER,Outer_Membrane,PP_0329(),Outer_Membrane,s
G1G01-836-MONOMER,Inner_Membrane,PP_0760(),Inner_Membrane,s
G1G01-2245-MONOMER,Inner_Membrane,PP_2105(),Inner_Membrane,s
G1G01-2931-MONOMER,Inner_Membrane,PP_2750(),Inner_Membrane,s
G1G01-3267-MONOMER,Inner_Membrane,PP_3074(),Inner_Membrane,s
G1G01-5683-MONOMER,Inner_Membrane,PP_5327(),Inner_Membrane,s
G1G01-2229-MONOMER,Inner_Membrane,PP_2091(),Inner_Membrane,s
G1G01-4282-MONOMER,Inner_Membrane,PP_4015(),Inner_Membrane,s
G1G01-3591-MONOMER,Inner_Membrane,PP_3360(),Inner_Membrane,s
G1G01-5669-MONOMER,Periplasm,PP_5312(),Periplasm,s
G1G01-2214-MONOMER,Membrane,PP_2076(),Membrane,s
G1G01-4268-MONOMER,Inner_Membrane,PP_4001(),Inner_Membrane,s
G1G01-1309-MONOMER,Periplasm,PP_1224(),Periplasm,s
G1G01-2902-MONOMER,Inner_Membrane,PP_2721(),Inner_Membrane,s
G1G01-4965-MONOMER,Inner_Membrane,PP_4652(),Inner_Membrane,s
G1G01-3577-MONOMER,Inner_Membrane,PP_3344(),Inner_Membrane,s
G1G01-5654-MONOMER,Inner_Membrane,PP_5297(),Inner_Membrane,s
G1G01-792-MONOMER,Inner_Membrane,PP_0718(),Inner_Membrane,s
G1G01-220-MONOMER,Membrane,PP_5433(),Membrane,s
G1G01-4597-MONOMER,Membrane,PP_4320(),Membrane,s
G1G01-2547-MONOMER,Inner_Membrane,PP_2384(),Inner_Membrane,s
G1G01-3561-MONOMER,Membrane,PP_5600(),Membrane,s
G1G01-39-MONOMER,Outer_Membrane,PP_0037(),Outer_Membrane,s
G1G01-4236-MONOMER,Inner_Membrane,PP_3971(),Inner_Membrane,s
G1G01-162-MONOMER,Inner_Membrane,PP_0155(),Inner_Membrane,s
G1G01-5284-MONOMER,Membrane,PP_4941(),Membrane,s
G1G01-3885-MONOMER,Periplasm,PP_3647(),Periplasm,s
G1G01-2171-MONOMER,Inner_Membrane,PP_2035(),Inner_Membrane,s
G1G01-4570-MONOMER,Outer_Membrane,PP_4293(),Outer_Membrane,s
G1G01-286-MONOMER,Inner_Membrane,PP_0264(),Inner_Membrane,s
G1G01-3531-MONOMER,Inner_Membrane,PP_3301(),Inner_Membrane,s
G1G01-2845-MONOMER,Inner_Membrane,PP_2664(),Inner_Membrane,s
G1G01-732-MONOMER,Inner_Membrane,PP_0660(),Inner_Membrane,s
G1G01-4536-MONOMER,Inner_Membrane,PP_4263(),Inner_Membrane,s
G1G01-1574-MONOMER,Inner_Membrane,PP_1482(),Inner_Membrane,s
G1G01-350-MONOMER,Inner_Membrane,PP_0317(),Inner_Membrane,s
G1G01-2470-MONOMER,Inner_Membrane,PP_2309(),Inner_Membrane,s
G1G01-2813-MONOMER,Inner_Membrane,PP_2632(),Inner_Membrane,s
G1G01-5224-MONOMER,Inner_Membrane,PP_4882(),Inner_Membrane,s
G1G01-3824-MONOMER,Periplasm,PP_3587(),Periplasm,s
G1G01-2100-MONOMER,Inner_Membrane,PP_1975(),Inner_Membrane,s
G1G01-416-MONOMER,Periplasm,PP_0381(),Periplasm,s
G1G01-4507-MONOMER,Periplasm,PP_4237(),Periplasm,s
G1G01-1199-MONOMER,Outer_Membrane,PP_1121(),Outer_Membrane,s
G1G01-5206-MONOMER,Inner_Membrane,PP_4866(),Inner_Membrane,s
G1G01-3471-MONOMER,Inner_Membrane,PP_3247(),Inner_Membrane,s
G1G01-4493-MONOMER,Inner_Membrane,PP_4224(),Inner_Membrane,s
G1G01-4844-MONOMER,Inner_Membrane,PP_4537(),Inner_Membrane,s
G1G01-3796-MONOMER,Inner_Membrane,PP_3559(),Inner_Membrane,s
G1G01-668-MONOMER,Membrane,PP_0611(),Membrane,s
G1G01-4479-MONOMER,Inner_Membrane,PP_4210(),Inner_Membrane,s
G1G01-277-MONOMER,Inner_Membrane,PP_0255(),Inner_Membrane,s
G1G01-1169-MONOMER,Inner_Membrane,PP_1096(),Inner_Membrane,s
G1G01-5178-MONOMER,Outer_Membrane,PP_4838(),Outer_Membrane,s
G1G01-3442-MONOMER,Inner_Membrane,PP_3220(),Inner_Membrane,s
G1G01-1862-MONOMER,Inner_Membrane,PP_1761(),Inner_Membrane,s
G1G01-5585-MONOMER,Inner_Membrane,PP_5234(),Inner_Membrane,s
G1G01-5516-MONOMER,Periplasm,PP_5171(),Periplasm,s
G1G01-2056-MONOMER,Inner_Membrane,PP_1936(),Inner_Membrane,s
G1G01-65-MONOMER,Membrane,PP_0062(),Membrane,s
G1G01-2409-MONOMER,Inner_Membrane,PP_2263(),Inner_Membrane,s
G1G01-309-MONOMER,Periplasm,PP_0282(),Periplasm,s
G1G01-634-MONOMER,Inner_Membrane,PP_0584(),Inner_Membrane,s
G1G01-2395-MONOMER,Inner_Membrane,PP_2249(),Inner_Membrane,s
G1G01-2739-MONOMER,Inner_Membrane,PP_2556(),Inner_Membrane,s
G1G01-114-MONOMER,Inner_Membrane,PP_0109(),Inner_Membrane,s
G1G01-5488-MONOMER,Inner_Membrane,PP_5143(),Inner_Membrane,s
G1G01-4087-MONOMER,Inner_Membrane,PP_3829(),Inner_Membrane,s
G1G01-1125-MONOMER,Membrane,PP_1052(),Membrane,s
G1G01-478-MONOMER,Membrane,PP_0439(),Membrane,s
G1G01-1472-MONOMER,Inner_Membrane,PP_1382(),Inner_Membrane,s
G1G01-1819-MONOMER,Inner_Membrane,PP_1718(),Inner_Membrane,s
G1G01-2010-MONOMER,Inner_Membrane,PP_1899(),Inner_Membrane,s
G1G01-4072-MONOMER,Periplasm,PP_3814(),Periplasm,s
G1G01-133-MONOMER,Periplasm,PP_0127(),Periplasm,s
G1G01-1458-MONOMER,Inner_Membrane,PP_1368(),Inner_Membrane,s
G1G01-3046-MONOMER,Inner_Membrane,PP_2867(),Inner_Membrane,s
G1G01-3721-MONOMER,Inner_Membrane,PP_3486(),Inner_Membrane,s
G1G01-4058-MONOMER,Membrane,PP_3800(),Membrane,s
G1G01-936-MONOMER,Outer_Membrane,PP_0861(),Outer_Membrane,s
G1G01-2346-MONOMER,Periplasm,PP_2205(),Periplasm,s
G1G01-4743-MONOMER,Inner_Membrane,PP_4455(),Inner_Membrane,s
G1G01-1442-MONOMER,Inner_Membrane,PP_1354(),Inner_Membrane,s
G1G01-3369-MONOMER,Inner_Membrane,PP_3150(),Inner_Membrane,s
G1G01-3707-MONOMER,Periplasm,PP_3472(),Periplasm,s
G1G01-1979-MONOMER,Inner_Membrane,PP_1875(),Inner_Membrane,s
G1G01-1427-MONOMER,Inner_Membrane,PP_1340(),Inner_Membrane,s
G1G01-5090-MONOMER,Inner_Membrane,PP_4756(),Inner_Membrane,s
G1G01-3354-MONOMER,Inner_Membrane,PP_3135(),Inner_Membrane,s
G1G01-1068-MONOMER,Inner_Membrane,PP_0995(),Inner_Membrane,s
G1G01-1948-MONOMER,Inner_Membrane,PP_1843(),Inner_Membrane,s
G1G01-4011-MONOMER,Inner_Membrane,PP_3758(),Inner_Membrane,s
G1G01-2988-MONOMER,Periplasm,PP_2808(),Periplasm,s
G1G01-5059-MONOMER,Outer_Membrane,PP_4731(),Outer_Membrane,s
G1G01-1741-MONOMER,Inner_Membrane,PP_1643(),Inner_Membrane,s
G1G01-5399-MONOMER,Inner_Membrane,PP_5055(),Inner_Membrane,s
G1G01-3662-MONOMER,Inner_Membrane,PP_3429(),Inner_Membrane,s
G1G01-1933-MONOMER,Membrane,PP_1828(),Membrane,s
G1G01-878-MONOMER,Inner_Membrane,PP_0803(),Inner_Membrane,s
G1G01-1383-MONOMER,Inner_Membrane,PP_1296(),Inner_Membrane,s
G1G01-1919-MONOMER,Inner_Membrane,PP_1814(),Inner_Membrane,s
G1G01-2272-MONOMER,Periplasm,PP_2130(),Periplasm,s
G1G01-4668-MONOMER,Periplasm,PP_4390(),Periplasm,s
G1G01-1369-MONOMER,Periplasm,PP_1282(),Periplasm,s
G1G01-5025-MONOMER,Outer_Membrane,PP_4704(),Outer_Membrane,s
G1G01-5369-MONOMER,Periplasm,PP_5024(),Periplasm,s
G1G01-5709-MONOMER,Inner_Membrane,PP_5353(),Inner_Membrane,s
G1G01-849-MONOMER,Outer_Membrane,PP_0773(),Outer_Membrane,s
G1G01-1693-MONOMER,Inner_Membrane,PP_1596(),Inner_Membrane,s
G1G01-3954-MONOMER,Inner_Membrane,PP_3705(),Inner_Membrane,s
G1G01-2588-MONOMER,Inner_Membrane,PP_2423(),Inner_Membrane,s
G1G01-534-MONOMER,Inner_Membrane,PP_0487(),Inner_Membrane,s
G1G01-3602-MONOMER,Inner_Membrane,PP_3371(),Inner_Membrane,s
G1G01-428-MONOMER,Inner_Membrane,PP_0391(),Inner_Membrane,s
G1G01-4622-MONOMER,Inner_Membrane,PP_4344(),Inner_Membrane,s
G1G01-2574-MONOMER,Inner_Membrane,PP_2411(),Inner_Membrane,s
G1G01-2914-MONOMER,Inner_Membrane,PP_2733(),Inner_Membrane,s
G1G01-1306-MONOMER,Outer_Membrane,PP_1221(),Outer_Membrane,s
G1G01-256-MONOMER,Outer_Membrane,PP_0234(),Outer_Membrane,s
G1G01-290-MONOMER,Outer_Membrane,PP_0268(),Outer_Membrane,s
G1G01-4962-MONOMER,Inner_Membrane,PP_4649(),Inner_Membrane,s
G1G01-531-MONOMER,Inner_Membrane,PP_0484(),Inner_Membrane,s
G1G01-3910-MONOMER,Inner_Membrane,PP_3672(),Inner_Membrane,s
G1G01-775-MONOMER,Inner_Membrane,PP_0701(),Inner_Membrane,s
G1G01-4233-MONOMER,Inner_Membrane,PP_3968(),Inner_Membrane,s
G1G01-253-MONOMER,Inner_Membrane,PP_0231(),Inner_Membrane,s
G1G01-4582-MONOMER,Periplasm,PP_4305(),Periplasm,s
G1G01-1617-MONOMER,Inner_Membrane,PP_1526(),Inner_Membrane,s
G1G01-4218-MONOMER,Inner_Membrane,PP_3953(),Inner_Membrane,s
G1G01-4568-MONOMER,Inner_Membrane,PP_4290(),Inner_Membrane,s
G1G01-4918-MONOMER,Inner_Membrane,PP_4610(),Inner_Membrane,s
G1G01-3529-MONOMER,Outer_Membrane,PP_3299(),Outer_Membrane,s
G1G01-5608-MONOMER,Inner_Membrane,PP_5251(),Inner_Membrane,s
