,value
RNAP_CPLX1G01176,"{'sigma_factor': 'CPLX1G01-176', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CPLX1G01177,"{'sigma_factor': 'CPLX1G01-177', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CPLX1G01182,"{'sigma_factor': 'CPLX1G01-182', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G011026MONOMER,"{'sigma_factor': 'G1G01-1026-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G011067MONOMER,"{'sigma_factor': 'G1G01-1067-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G011081MONOMER,"{'sigma_factor': 'G1G01-1081-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G011519MONOMER,"{'sigma_factor': 'G1G01-1519-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G011720MONOMER,"{'sigma_factor': 'G1G01-1720-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G01177MONOMER,"{'sigma_factor': 'G1G01-177-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G012226MONOMER,"{'sigma_factor': 'G1G01-2226-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G012333MONOMER,"{'sigma_factor': 'G1G01-2333-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G013068MONOMER,"{'sigma_factor': 'G1G01-3068-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G013189MONOMER,"{'sigma_factor': 'G1G01-3189-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G013282MONOMER,"{'sigma_factor': 'G1G01-3282-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G013814MONOMER,"{'sigma_factor': 'G1G01-3814-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G01386MONOMER,"{'sigma_factor': 'G1G01-386-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G01424MONOMER,"{'sigma_factor': 'G1G01-424-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G014477MONOMER,"{'sigma_factor': 'G1G01-4477-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G014517MONOMER,"{'sigma_factor': 'G1G01-4517-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G014619MONOMER,"{'sigma_factor': 'G1G01-4619-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G014861MONOMER,"{'sigma_factor': 'G1G01-4861-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G014916MONOMER,"{'sigma_factor': 'G1G01-4916-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G014920MONOMER,"{'sigma_factor': 'G1G01-4920-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G015452MONOMER,"{'sigma_factor': 'G1G01-5452-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G01739MONOMER,"{'sigma_factor': 'G1G01-739-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G01778MONOMER,"{'sigma_factor': 'G1G01-778-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
RNAP_G1G01940MONOMER,"{'sigma_factor': 'G1G01-940-MONOMER', 'polymerase': 'RNAP-CPLX_mod_zn2(1)_mod_mg2(2)'}"
