Modified_enzyme,Core_enzyme,Modifications,Source
G1G01-919-MONOMER_mod_4fe4s(1),G1G01-919-MONOMER,4fe4s(1),Manual
G1G01-2029-MONOMER_mod_pydx5p(1),G1G01-2029-MONOMER,pydx5p(1),Manual
CPLX1G01-44_mod_2fe2s(1)_mod_4fe4s(2)_mod_fad(1),CPLX1G01-44,2fe2s(1) AND 4fe4s(2) AND fad(1),Manual
RNAP-CPLX_mod_zn2(1)_mod_mg2(2),RNAP-CPLX,zn2(1) AND mg2(2),RNA_Polymerase
G1G01-1711-MONOMER_mod_mg2(1),G1G01-1711-MONOMER,mg2(1),Homology
G1G01-1711-MONOMER_mod_mn2(1),G1G01-1711-MONOMER,mn2(1),Homology
G1G01-1711-MONOMER_mod_cobalt2(1),G1G01-1711-MONOMER,cobalt2(1),Homology
G1G01-4298-MONOMER_mod_zn2(2),G1G01-4298-MONOMER,zn2(2),Homology
G1G01-4950-MONOMER_mod_zn2(1),G1G01-4950-MONOMER,zn2(1),Homology
CPLX1G01-106_mod_pydx5p(1),CPLX1G01-106,pydx5p(1),Homology
CPLX-8177_mod_fe2(1),CPLX-8177,fe2(1),Homology
G1G01-4507-MONOMER_mod_Oxidized(1),G1G01-4507-MONOMER,Oxidized(1),Homology
CPLX1G01-70_mod_bmocogdp(1),CPLX1G01-70,bmocogdp(1),Homology
CPLX1G01-137_mod_mg2(1),CPLX1G01-137,mg2(1),Homology
G1G01-1154-MONOMER_mod_Oxidized(1),G1G01-1154-MONOMER,Oxidized(1),Homology
CPLX1G01-160_mod_pheme(1)_mod_hemed(1),CPLX1G01-160,pheme(1) AND hemed(1),Homology
G1G01-62-MONOMER_mod_mg2(1),G1G01-62-MONOMER,mg2(1),Homology
G1G01-1110-MONOMER_mod_mg2(1),G1G01-1110-MONOMER,mg2(1),Homology
CPLX1G01-125_mod_mg2(1)_mod_fad(1)_mod_thmpp(1)_mod_lipoyl(1),CPLX1G01-125,mg2(1) AND fad(1) AND thmpp(1) AND lipoyl(1),Homology
CPLX1G01-170_mod_fad(1)_mod_k(2),CPLX1G01-170,fad(1) AND k(2),Homology
CPLX1G01-71_mod_fad(1)_mod_2fe2s(1),CPLX1G01-71,fad(1) AND 2fe2s(1),Homology
CPLX1G01-218_mod_pheme(1),CPLX1G01-218,pheme(1),Homology
G1G01-577-MONOMER_mod_mg2(1),G1G01-577-MONOMER,mg2(1),Homology
G1G01-577-MONOMER_mod_mn2(1),G1G01-577-MONOMER,mn2(1),Homology
G1G01-4711-MONOMER_mod_pydx5p(1),G1G01-4711-MONOMER,pydx5p(1),Homology
G1G01-1398-MONOMER_mod_mg2(1),G1G01-1398-MONOMER,mg2(1),Homology
CPLX1G01-47_mod_mg2(1)_mod_fe2(1),CPLX1G01-47,mg2(1) AND fe2(1),Homology
CPLX1G01-78_mod_mg2(1),CPLX1G01-78,mg2(1),Homology
CPLX1G01-78_mod_mn2(1),CPLX1G01-78,mn2(1),Homology
CPLX1G01-78_mod_cobalt2(1),CPLX1G01-78,cobalt2(1),Homology
CPLX1G01-78_mod_cd2(1),CPLX1G01-78,cd2(1),Homology
CPLX1G01-78_mod_zn2(1),CPLX1G01-78,zn2(1),Homology
CPLX1G01-44_mod_3fe4s(1)_mod_fad(1)_mod_2fe2s(1)_mod_4fe4s(1),CPLX1G01-44,3fe4s(1) AND fad(1) AND 2fe2s(1) AND 4fe4s(1),Homology
G1G01-1693-MONOMER_mod_mg2(1)_mod_k(1),G1G01-1693-MONOMER,mg2(1) AND k(1),Homology
G1G01-2242-MONOMER_mod_mg2(1),G1G01-2242-MONOMER,mg2(1),Homology
CPLX1G01-159_mod_pheme(1)_mod_hemeO(1)_mod_cu2(1),CPLX1G01-159,pheme(1) AND hemeO(1) AND cu2(1),Homology
CPLX1G01-144_mod_mg2(1),CPLX1G01-144,mg2(1),Homology
G1G01-4996-MONOMER_mod_mg2(1),G1G01-4996-MONOMER,mg2(1),Homology
CPLX1G01-111_mod_mg2(1)_mod_lipoyl(1),CPLX1G01-111,mg2(1) AND lipoyl(1),Homology
CPLX1G01-75_mod_adocbl(1),CPLX1G01-75,adocbl(1),Homology
G1G01-5651-MONOMER_mod_mg2(1),G1G01-5651-MONOMER,mg2(1),Homology
CPLX1G01-87_mod_2fe2s(1)_mod_fad(1)_mod_sheme(1),CPLX1G01-87,2fe2s(1) AND fad(1) AND sheme(1),Homology
