,value
PP_0001,MONOMER
PP_0002,MONOMER
PP_0003,MONOMER
PP_0004,MONOMER
PP_0005,MONOMER
PP_0006,MONOMER
PP_0007,MONOMER
PP_0008,MONOMER
PP_0009,MONOMER
PP_0010,MONOMER
PP_0011,MONOMER
PP_0012,MONOMER
PP_0013,MONOMER
PP_0014,MONOMER
PP_0015,MONOMER
PP_0016,MONOMER
PP_0017,MONOMER
PP_0018,MONOMER
PP_0019,MONOMER
PP_0020,MONOMER
PP_0021,MONOMER
PP_0022,MONOMER
PP_0023,MONOMER
PP_0024,MONOMER
PP_0025,MONOMER
PP_0026,MONOMER
PP_0027,MONOMER
PP_0028,MONOMER
PP_0029,MONOMER
PP_0030,MONOMER
PP_0031,MONOMER
PP_0032,MONOMER
PP_0033,MONOMER
PP_0034,MONOMER
PP_0035,MONOMER
PP_0036,MONOMER
PP_0037,MONOMER
PP_0039,MONOMER
PP_0040,MONOMER
PP_0041,MONOMER
PP_0042,MONOMER
PP_0043,MONOMER
PP_0044,MONOMER
PP_0045,MONOMER
PP_0046,MONOMER
PP_0047,MONOMER
PP_0048,MONOMER
PP_0049,MONOMER
PP_0050,MONOMER
PP_0051,MONOMER
PP_0052,MONOMER
PP_0053,MONOMER
PP_0054,MONOMER
PP_0055,MONOMER
PP_0056,MONOMER
PP_0057,MONOMER
PP_0058,MONOMER
PP_0059,MONOMER
PP_0060,MONOMER
PP_0061,MONOMER
PP_0062,MONOMER
PP_0063,MONOMER
PP_0064,MONOMER
PP_0065,MONOMER
PP_0066,MONOMER
PP_0067,MONOMER
PP_0068,MONOMER
PP_0069,MONOMER
PP_0070,MONOMER
PP_0071,MONOMER
PP_0072,MONOMER
PP_0073,MONOMER
PP_0074,MONOMER
PP_0075,MONOMER
PP_0076,MONOMER
PP_0077,MONOMER
PP_0079,MONOMER
PP_0080,MONOMER
PP_0081,MONOMER
PP_0082,MONOMER
PP_0083,MONOMER
PP_0084,MONOMER
PP_0085,MONOMER
PP_0086,MONOMER
PP_0087,MONOMER
PP_0088,MONOMER
PP_0089,MONOMER
PP_0090,MONOMER
PP_0091,MONOMER
PP_0092,MONOMER
PP_0093,MONOMER
PP_0094,MONOMER
PP_0095,MONOMER
PP_0096,MONOMER
PP_0097,MONOMER
PP_0098,MONOMER
PP_0099,MONOMER
PP_0100,MONOMER
PP_0101,MONOMER
PP_0103,MONOMER
PP_0104,MONOMER
PP_0105,MONOMER
PP_0106,MONOMER
PP_0107,MONOMER
PP_0108,MONOMER
PP_0109,MONOMER
PP_0110,MONOMER
PP_0111,MONOMER
PP_0112,MONOMER
PP_0113,MONOMER
PP_0114,MONOMER
PP_0115,MONOMER
PP_0116,MONOMER
PP_0117,MONOMER
PP_0118,MONOMER
PP_0119,MONOMER
PP_0120,MONOMER
PP_0121,MONOMER
PP_0122,MONOMER
PP_0123,MONOMER
PP_0124,MONOMER
PP_0125,MONOMER
PP_0126,MONOMER
PP_0127,MONOMER
PP_0128,MONOMER
PP_0129,MONOMER
PP_0130,MONOMER
PP_0131,MONOMER
PP_0132,MONOMER
PP_0133,MONOMER
PP_0134,MONOMER
PP_0135,MONOMER
PP_0136,MONOMER
PP_0137,MONOMER
PP_0138,MONOMER
PP_0139,MONOMER
PP_0140,MONOMER
PP_0141,MONOMER
PP_0142,MONOMER
PP_0143,MONOMER
PP_0144,MONOMER
PP_0145,MONOMER
PP_0146,MONOMER
PP_0147,MONOMER
PP_0148,MONOMER
PP_0149,MONOMER
PP_0150,MONOMER
PP_0151,MONOMER
PP_0152,MONOMER
PP_0153,MONOMER
PP_0154,MONOMER
PP_0155,MONOMER
PP_0156,MONOMER
PP_0157,MONOMER
PP_0158,MONOMER
PP_0159,MONOMER
PP_0160,MONOMER
PP_0161,MONOMER
PP_0162,MONOMER
PP_0163,MONOMER
PP_0164,MONOMER
PP_0165,MONOMER
PP_0166,MONOMER
PP_0167,MONOMER
PP_0168,MONOMER
PP_0169,MONOMER
PP_0170,MONOMER
PP_0171,MONOMER
PP_0172,MONOMER
PP_0173,MONOMER
PP_0174,MONOMER
PP_0175,MONOMER
PP_0176,MONOMER
PP_0177,MONOMER
PP_0178,MONOMER
PP_0179,MONOMER
PP_0180,MONOMER
PP_0181,MONOMER
PP_0182,MONOMER
PP_0183,MONOMER
PP_0184,MONOMER
PP_0185,MONOMER
PP_0186,MONOMER
PP_0187,MONOMER
PP_0188,MONOMER
PP_0189,MONOMER
PP_0190,MONOMER
PP_0191,MONOMER
PP_0192,MONOMER
PP_0194,MONOMER
PP_0195,MONOMER
PP_0196,MONOMER
PP_0197,MONOMER
PP_0198,MONOMER
PP_0199,MONOMER
PP_0200,MONOMER
PP_0201,MONOMER
PP_0202,MONOMER
PP_0203,MONOMER
PP_0204,MONOMER
PP_0205,MONOMER
PP_0206,MONOMER
PP_0207,MONOMER
PP_0208,MONOMER
PP_0209,MONOMER
PP_0210,MONOMER
PP_0211,MONOMER
PP_0213,MONOMER
PP_0214,MONOMER
PP_0215,MONOMER
PP_0216,MONOMER
PP_0217,MONOMER
PP_0218,MONOMER
PP_0219,MONOMER
PP_0220,MONOMER
PP_0221,MONOMER
PP_0222,MONOMER
PP_0223,MONOMER
PP_0224,MONOMER
PP_0225,MONOMER
PP_0226,MONOMER
PP_0227,MONOMER
PP_0228,MONOMER
PP_0229,MONOMER
PP_0230,MONOMER
PP_0231,MONOMER
PP_0232,MONOMER
PP_0233,MONOMER
PP_0234,MONOMER
PP_0235,MONOMER
PP_0236,MONOMER
PP_0237,MONOMER
PP_0238,MONOMER
PP_0239,MONOMER
PP_0240,MONOMER
PP_0241,MONOMER
PP_0242,MONOMER
PP_0243,MONOMER
PP_0244,MONOMER
PP_0245,MONOMER
PP_0246,MONOMER
PP_0247,MONOMER
PP_0248,MONOMER
PP_0249,MONOMER
PP_0250,MONOMER
PP_0251,MONOMER
PP_0252,MONOMER
PP_0254,MONOMER
PP_0255,MONOMER
PP_0256,MONOMER
PP_0257,MONOMER
PP_0258,MONOMER
PP_0259,MONOMER
PP_0260,MONOMER
PP_0261,MONOMER
PP_0262,MONOMER
PP_0263,MONOMER
PP_0264,MONOMER
PP_0265,MONOMER
PP_0266,MONOMER
PP_0267,MONOMER
PP_0268,MONOMER
PP_0269,MONOMER
PP_0270,MONOMER
PP_0271,MONOMER
PP_0272,MONOMER
PP_0273,MONOMER
PP_0274,MONOMER
PP_0275,MONOMER
PP_0276,MONOMER
PP_0277,MONOMER
PP_0278,MONOMER
PP_0279,MONOMER
PP_0280,MONOMER
PP_0281,MONOMER
PP_0282,MONOMER
PP_0283,MONOMER
PP_0284,MONOMER
PP_0285,MONOMER
PP_0286,MONOMER
PP_0287,MONOMER
PP_0288,MONOMER
PP_0289,MONOMER
PP_0290,MONOMER
PP_0291,MONOMER
PP_0292,MONOMER
PP_0293,MONOMER
PP_0294,MONOMER
PP_0295,MONOMER
PP_0296,MONOMER
PP_0297,MONOMER
PP_0298,MONOMER
PP_0299,MONOMER
PP_0300,MONOMER
PP_0301,MONOMER
PP_0302,MONOMER
PP_0303,MONOMER
PP_0304,MONOMER
PP_0305,MONOMER
PP_0306,MONOMER
PP_0307,MONOMER
PP_0308,MONOMER
PP_0309,MONOMER
PP_0310,MONOMER
PP_0311,MONOMER
PP_0312,MONOMER
PP_0313,MONOMER
PP_0314,MONOMER
PP_0315,MONOMER
PP_0316,MONOMER
PP_0317,MONOMER
PP_0318,MONOMER
PP_0319,MONOMER
PP_0320,MONOMER
PP_0321,MONOMER
PP_0322,MONOMER
PP_0323,MONOMER
PP_0324,MONOMER
PP_0325,MONOMER
PP_0326,MONOMER
PP_0327,MONOMER
PP_0328,MONOMER
PP_0329,MONOMER
PP_0330,MONOMER
PP_0331,MONOMER
