,maximum,minimum
3AIBT2_REV_G1G01-647-MONOMER,0.01534376573532807,0.0
3AIBT2_FWD_G1G01-647-MONOMER,0.015343765735328072,0.0
3HAACOAT100_REV_G1G01-1499-MONOMER,0.10392538029226311,0.0
3HAACOAT100_FWD_G1G01-1499-MONOMER,0.10392538029226311,0.0
3HAACOAT120_REV_G1G01-1499-MONOMER,0.1021815811105624,0.0
3HAACOAT120_FWD_G1G01-1499-MONOMER,0.1021815811105624,0.0
3HAACOAT121_REV_G1G01-1499-MONOMER,0.10243604216950682,0.0
3HAACOAT121_FWD_G1G01-1499-MONOMER,0.10243604216950682,0.0
3HAACOAT140_REV_G1G01-1499-MONOMER,0.11616207909781359,0.01538343677562262
3HAACOAT140_FWD_G1G01-1499-MONOMER,0.10059639546679351,0.0
3HAACOAT141_REV_G1G01-1499-MONOMER,0.10074144725596534,0.0
3HAACOAT141_FWD_G1G01-1499-MONOMER,0.1163069477789769,0.01538343677562262
3HAACOAT60_REV_G1G01-1499-MONOMER,0.10759780162780401,0.0
3HAACOAT60_FWD_G1G01-1499-MONOMER,0.10759780162780401,0.0
3HAACOAT80_REV_G1G01-1499-MONOMER,0.10572971773628233,0.0
3HAACOAT80_FWD_G1G01-1499-MONOMER,0.10572971773628233,0.0
3HAD100_REV_G1G01-4440-MONOMER,0.0,0.0
3HAD100_FWD_G1G01-4440-MONOMER,0.11355640140362842,0.08461546933935772
3HAD100_REV_G1G01-1699-MONOMER,0.0,0.0
3HAD100_FWD_G1G01-1699-MONOMER,0.02881750342967313,0.0
3HAD120_REV_G1G01-4440-MONOMER,0.0,0.0
3HAD120_FWD_G1G01-4440-MONOMER,0.007589909711318453,0.0
3HAD120_REV_G1G01-1699-MONOMER,0.0,0.0
3HAD120_FWD_G1G01-1699-MONOMER,0.007586750157019436,0.0
3HAD121_REV_G1G01-4440-MONOMER,0.0,0.0
3HAD121_FWD_G1G01-4440-MONOMER,0.09873878415065836,0.06979898047761138
3HAD121_REV_G1G01-1699-MONOMER,0.0,0.0
3HAD121_FWD_G1G01-1699-MONOMER,0.02881750342967313,0.0
3HAD140_REV_G1G01-4440-MONOMER,0.0,0.0
3HAD140_FWD_G1G01-4440-MONOMER,0.015638490541628518,0.0
