subsystem,level_1,value,ci_low,ci_upp,fit,predicted
Metabolic: No subsystem,PPutida_1,3.2382651814964305,1.9167275762527862,3.9658126757621575,2.941270126007472,1.3701159943056023
Metabolic: No subsystem,PPutida_2,3.219834285442272,1.9167275762527862,3.9658126757621575,2.941270126007472,1.3701159943056023
Metabolic: No subsystem,PPutida_4,3.1968209295103973,1.9167275762527862,3.9658126757621575,2.941270126007472,1.3701159943056023
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_1,0.7664605785040871,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_2,0.6872446807998931,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_4,0.779506365724677,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:Biomass and maintenance functions,PPutida_1,2.1372382893574122,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:Biomass and maintenance functions,PPutida_2,2.1088158690257144,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:Biomass and maintenance functions,PPutida_4,2.1725674939727337,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:Murein Recycling,PPutida_1,2.2928114480540276,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:Murein Recycling,PPutida_2,2.2491525980205322,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:Murein Recycling,PPutida_4,2.424822398653987,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_1,3.3771350612761784,2.711904062994436,4.763213695096378,3.737558879045407,3.90248895985652
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_2,3.394407952159364,2.711904062994436,4.763213695096378,3.737558879045407,3.90248895985652
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_4,3.387405551594618,2.711904062994436,4.763213695096378,3.737558879045407,3.90248895985652
Metabolic:S_Alginate_biosynthesis,PPutida_1,3.4544531751717016,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_2,3.4411515287864427,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_4,3.397469603385097,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon,PPutida_1,3.561264238218439,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon,PPutida_2,3.592444290495209,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon,PPutida_4,3.488409368941537,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_1,1.9935745066702866,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_2,1.9837134021678209,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_4,2.0578479225461197,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_1,1.4004269484954948,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_2,1.4405723474585046,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_4,1.4331533912740384,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_1,3.3764758667271444,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_2,3.35357635682534,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_4,3.4114252328846737,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Levulinate_Metabolism,PPutida_1,1.1941300465852955,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Levulinate_Metabolism,PPutida_2,1.1512044894615845,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Levulinate_Metabolism,PPutida_4,1.2141903298951702,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Propanoate_Metabolism,PPutida_1,2.678346398725889,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Propanoate_Metabolism,PPutida_2,2.6770795289858413,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Propanoate_Metabolism,PPutida_4,2.730695059092198,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon__Ribose_Metabolism,PPutida_1,3.8144178475767445,2.5580425852544946,4.607925403970011,3.5829839946122526,3.410906908749702
Metabolic:S_Alternate_Carbon__Ribose_Metabolism,PPutida_2,3.7753013907299606,2.5580425852544946,4.607925403970011,3.5829839946122526,3.410906908749702
Metabolic:S_Alternate_Carbon__Ribose_Metabolism,PPutida_4,3.745605798426479,2.5580425852544946,4.607925403970011,3.5829839946122526,3.410906908749702
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,PPutida_1,3.516065192009905,2.0462079125884527,4.094788760342694,3.0704983364655734,1.7810900603113164
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,PPutida_2,3.5340217063427843,2.0462079125884527,4.094788760342694,3.0704983364655734,1.7810900603113164
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,PPutida_4,3.5213036607873747,2.0462079125884527,4.094788760342694,3.0704983364655734,1.7810900603113164
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,PPutida_1,2.8166165650641495,2.1246526992140335,4.173091070041883,3.148871884627958,2.030335141098325
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,PPutida_2,2.869002970800386,2.1246526992140335,4.173091070041883,3.148871884627958,2.030335141098325
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,PPutida_4,2.7913167541871062,2.1246526992140335,4.173091070041883,3.148871884627958,2.030335141098325
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,PPutida_1,3.0454396219621995,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,PPutida_2,2.9942614883537746,1.4838536895571675,3.5370378468345702,2.510445768195869,0.0
