subsystem,level_1,value,ci_low,ci_upp,fit,predicted
Metabolic: No subsystem,PPutida_1,3.1881126714770005,1.9628639565875523,3.816926452067291,2.8898952043274218,1.3701159943056023
Metabolic: No subsystem,PPutida_2,3.1588615644472333,1.9628639565875523,3.816926452067291,2.8898952043274218,1.3701159943056023
Metabolic: No subsystem,PPutida_4,3.165872476383405,1.9628639565875523,3.816926452067291,2.8898952043274218,1.3701159943056023
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_1,1.9890722143503505,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_2,1.2763705097414273,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_4,1.0721006948846752,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:Biomass and maintenance functions,PPutida_1,1.8180017566697202,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:Biomass and maintenance functions,PPutida_2,1.975340514077446,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:Biomass and maintenance functions,PPutida_4,1.9233590436037504,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:Murein Recycling,PPutida_1,2.4525137717788206,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:Murein Recycling,PPutida_2,2.5007664483716634,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:Murein Recycling,PPutida_4,2.6099197899579494,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_1,2.864806281101867,2.5876143910392955,4.443689698212822,3.5156520446260586,3.90248895985652
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_2,2.9215615253673217,2.5876143910392955,4.443689698212822,3.5156520446260586,3.90248895985652
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_4,2.970277178382352,2.5876143910392955,4.443689698212822,3.5156520446260586,3.90248895985652
Metabolic:S_Alginate_biosynthesis,PPutida_1,3.319863388967613,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_2,3.3064699610001327,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_4,3.305096805276829,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon,PPutida_1,2.9532989446962765,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon,PPutida_2,3.078540349213873,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon,PPutida_4,3.175219948430389,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_1,2.4525137717788206,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_2,2.156511298662402,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_4,2.0849379195898474,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_1,1.9119062595380514,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_2,1.8312514233739203,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_4,1.8044944547076438,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_1,2.9651981679959842,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_2,3.212055558668262,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_4,3.3058580578501857,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Levulinate_Metabolism,PPutida_1,2.1114786144432554,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Levulinate_Metabolism,PPutida_2,1.7619249319979524,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Levulinate_Metabolism,PPutida_4,1.6631653019111745,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Propanoate_Metabolism,PPutida_1,2.495482845172001,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Propanoate_Metabolism,PPutida_2,2.6034287902688114,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Propanoate_Metabolism,PPutida_4,2.67089120164779,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon__Ribose_Metabolism,PPutida_1,2.9630587819854326,2.4667885219879793,4.321572813386488,3.3941806676872335,3.410906908749702
Metabolic:S_Alternate_Carbon__Ribose_Metabolism,PPutida_2,3.013937302356795,2.4667885219879793,4.321572813386488,3.3941806676872335,3.410906908749702
Metabolic:S_Alternate_Carbon__Ribose_Metabolism,PPutida_4,3.0891340341834557,2.4667885219879793,4.321572813386488,3.3941806676872335,3.410906908749702
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,PPutida_1,3.5414291183837263,2.0646449919784624,3.9182512280926485,2.9914481100355554,1.7810900603113164
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,PPutida_2,3.5391007090456688,2.0646449919784624,3.9182512280926485,2.9914481100355554,1.7810900603113164
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,PPutida_4,3.6208585234583794,2.0646449919784624,3.9182512280926485,2.9914481100355554,1.7810900603113164
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,PPutida_1,2.586052680149038,2.1262986460093547,3.9797759655032605,3.0530373057563076,2.030335141098325
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,PPutida_2,2.67939004394274,2.1262986460093547,3.9797759655032605,3.0530373057563076,2.030335141098325
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,PPutida_4,2.746042693518763,2.1262986460093547,3.9797759655032605,3.0530373057563076,2.030335141098325
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,PPutida_1,2.758724279946582,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,PPutida_2,2.9783953530403067,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism,PPutida_4,3.0438402857724536,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,PPutida_1,2.4525137717788206,1.6559018063026505,3.513161053099581,2.5845314297011157,0.13434050177851706
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,PPutida_2,2.2554366029057844,1.6559018063026505,3.513161053099581,2.5845314297011157,0.13434050177851706
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Ectoine_Metabolism,PPutida_4,2.305096805276829,1.6559018063026505,3.513161053099581,2.5845314297011157,0.13434050177851706
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,PPutida_1,1.8870826758130193,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,PPutida_2,1.407649424380746,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Hydroxy_proline_metabolism,PPutida_4,1.186044047191512,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,PPutida_1,3.2720577073206893,1.813352592566949,3.668632159099787,2.740992375833368,0.7675217067346495
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,PPutida_2,3.239046186717615,1.813352592566949,3.668632159099787,2.740992375833368,0.7675217067346495
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism,PPutida_4,3.387231012068277,1.813352592566949,3.668632159099787,2.740992375833368,0.7675217067346495
Metabolic:S_Arginine_and_Proline_Metabolism,PPutida_1,4.307426794086676,2.583757458392768,4.439784827123762,3.5117711427582647,3.8867833529193807
Metabolic:S_Arginine_and_Proline_Metabolism,PPutida_2,4.279070056056257,2.583757458392768,4.439784827123762,3.5117711427582647,3.8867833529193807
Metabolic:S_Arginine_and_Proline_Metabolism,PPutida_4,4.384320378158648,2.583757458392768,4.439784827123762,3.5117711427582647,3.8867833529193807
Metabolic:S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,PPutida_1,3.0519601475040963,1.6583082828373767,3.515531917779236,2.586920100308306,0.14400720372997738
Metabolic:S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,PPutida_2,3.006867784096985,1.6583082828373767,3.515531917779236,2.586920100308306,0.14400720372997738
Metabolic:S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway,PPutida_4,3.0438402857724536,1.6583082828373767,3.515531917779236,2.586920100308306,0.14400720372997738
Metabolic:S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,PPutida_1,2.2129362552020324,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,PPutida_2,1.9380161910536335,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Aromatic_Compounds_Degradation__Gallic_acid_Metabolism,PPutida_4,1.8574305298954423,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
Metabolic:S_Aromatic_Compounds_Degradation__Homogentisate_pathway,PPutida_1,2.939934983138295,1.6224497830936366,3.480221206658565,2.551335494876101,0.0
