subsystem,level_1,value,ci_low,ci_upp,fit,predicted
Metabolic: No subsystem,PPutida_1,0.05015251001943025,-0.44505007705703,0.5477999204171297,0.051374921680049854,1.3701159943056023
Metabolic: No subsystem,PPutida_2,0.060972720995038664,-0.44505007705703,0.5477999204171297,0.051374921680049854,1.3701159943056023
Metabolic: No subsystem,PPutida_4,0.030948453126992456,-0.44505007705703,0.5477999204171297,0.051374921680049854,1.3701159943056023
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_1,-1.2226116358462635,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_2,-0.5891258289415342,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_4,-0.2925943291599982,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:Biomass and maintenance functions,PPutida_1,0.3192365326876921,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:Biomass and maintenance functions,PPutida_2,0.13347535494826848,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:Biomass and maintenance functions,PPutida_4,0.2492084503689831,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:Murein Recycling,PPutida_1,-0.15970232372479307,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:Murein Recycling,PPutida_2,-0.25161385035113143,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:Murein Recycling,PPutida_4,-0.18509739130396247,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_1,0.5123287801743112,-0.27505709439424286,0.7188707632329403,0.22190683441934872,3.90248895985652
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_2,0.47284642679204225,-0.27505709439424286,0.7188707632329403,0.22190683441934872,3.90248895985652
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_4,0.4171283732122666,-0.27505709439424286,0.7188707632329403,0.22190683441934872,3.90248895985652
Metabolic:S_Alginate_biosynthesis,PPutida_1,0.13458978620408854,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_2,0.13468156778631002,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_4,0.09237279810826801,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon,PPutida_1,0.6079652935221627,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon,PPutida_2,0.5139039412813359,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon,PPutida_4,0.3131894205111481,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_1,-0.45893926510853406,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_2,-0.17279789649458133,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_4,-0.027089997043727703,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_1,-0.5114793110425564,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_2,-0.3906790759154157,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_4,-0.3713410634336054,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_1,0.41127769873116005,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_2,0.14152079815707758,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_4,0.10556717503448779,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Levulinate_Metabolism,PPutida_1,-0.9173485678579602,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Levulinate_Metabolism,PPutida_2,-0.6107204425363678,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Levulinate_Metabolism,PPutida_4,-0.4489749720160042,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Propanoate_Metabolism,PPutida_1,0.18286355355388842,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Propanoate_Metabolism,PPutida_2,0.07365073871703003,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Propanoate_Metabolism,PPutida_4,0.059803857444408,-0.5383077904431649,0.4565283370827001,-0.04088972668023243,0.0
Metabolic:S_Alternate_Carbon__Ribose_Metabolism,PPutida_1,0.8513590655913116,-0.3078149325780478,0.6854215864280853,0.18880332692501872,3.410906908749702
Metabolic:S_Alternate_Carbon__Ribose_Metabolism,PPutida_2,0.7613640883731655,-0.3078149325780478,0.6854215864280853,0.18880332692501872,3.410906908749702
Metabolic:S_Alternate_Carbon__Ribose_Metabolism,PPutida_4,0.6564717642430233,-0.3078149325780478,0.6854215864280853,0.18880332692501872,3.410906908749702
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,PPutida_1,-0.025363926373821157,-0.4172526089196249,0.5753530617796602,0.07905022643001763,1.7810900603113164
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,PPutida_2,-0.005079002702884284,-0.4172526089196249,0.5753530617796602,0.07905022643001763,1.7810900603113164
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism,PPutida_4,-0.09955486267100515,-0.4172526089196249,0.5753530617796602,0.07905022643001763,1.7810900603113164
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,PPutida_1,0.2305638849151116,-0.40043373906921226,0.5921028968125133,0.09583457887165052,2.030335141098325
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,PPutida_2,0.1896129268576462,-0.40043373906921226,0.5921028968125133,0.09583457887165052,2.030335141098325
Metabolic:S_Alternate_Carbon_and_Nitrogen_source__D_Amino_acids_Metabolism,PPutida_4,0.04527406066834333,-0.40043373906921226,0.5921028968125133,0.09583457887165052,2.030335141098325
