subsystem,level_1,value,ci_low,ci_upp,fit,predicted
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_1,1.9890722143503505,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_2,1.2763705097414273,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_4,1.0721006948846752,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:Biomass and maintenance functions,PPutida_1,1.8180017566697202,2.0778237231457695,4.273364142274941,3.1755939327103553,0.38160917807491757
Metabolic:Biomass and maintenance functions,PPutida_2,1.975340514077446,2.0778237231457695,4.273364142274941,3.1755939327103553,0.38160917807491757
Metabolic:Biomass and maintenance functions,PPutida_4,1.9233590436037504,2.0778237231457695,4.273364142274941,3.1755939327103553,0.38160917807491757
Metabolic:Murein Recycling,PPutida_1,2.4525137717788206,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:Murein Recycling,PPutida_2,2.5007664483716634,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:Murein Recycling,PPutida_4,2.6099197899579494,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_1,2.864806281101867,2.086582600212485,4.282216411929788,3.1843995060711365,0.393197928485553
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_2,2.9215615253673217,2.086582600212485,4.282216411929788,3.1843995060711365,0.393197928485553
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_4,2.970277178382352,2.086582600212485,4.282216411929788,3.1843995060711365,0.393197928485553
Metabolic:S_Alginate_biosynthesis,PPutida_1,3.319863388967613,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_2,3.3064699610001327,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_4,3.305096805276829,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon,PPutida_1,2.9532989446962765,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon,PPutida_2,3.078540349213873,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon,PPutida_4,3.175219948430389,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_1,2.4525137717788206,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_2,2.156511298662402,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_4,2.0849379195898474,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_1,1.9119062595380514,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_2,1.8312514233739203,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_4,1.8044944547076438,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_1,2.9651981679959842,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
Metabolic:S_Alternate_Carbon__Fructose_Metabolism,PPutida_2,3.212055558668262,1.7876572404610716,3.983608287586267,2.8856327640236694,0.0
