subsystem,level_1,value,ci_low,ci_upp,fit,predicted
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_1,0.7664605785040871,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_2,0.6872446807998931,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:Aliphatic open-chain ketones metabolism,PPutida_4,0.779506365724677,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:Murein Recycling,PPutida_1,2.2928114480540276,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:Murein Recycling,PPutida_2,2.2491525980205322,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:Murein Recycling,PPutida_4,2.424822398653987,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_1,3.1535469983202207,2.083596853036563,4.652007111611645,3.367801982324104,0.5926977989767025
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_2,3.1619826722171833,2.083596853036563,4.652007111611645,3.367801982324104,0.5926977989767025
Metabolic:S_Alanine_and_Aspartate_Metabolism,PPutida_4,3.1984642321146315,2.083596853036563,4.652007111611645,3.367801982324104,0.5926977989767025
Metabolic:S_Alginate_biosynthesis,PPutida_1,3.5799966912771737,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_2,3.558204413249478,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alginate_biosynthesis,PPutida_4,3.5299730616338976,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alternate_Carbon,PPutida_1,3.1392240172530856,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alternate_Carbon,PPutida_2,3.1298102441321363,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alternate_Carbon,PPutida_4,3.1535607920771467,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_1,2.539748384894333,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_2,2.4578402661874175,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alternate_Carbon__Ascorbate_and_Aldarate_Metabolism,PPutida_4,2.6712496989554477,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_1,1.4004269484954948,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_2,1.4405723474585046,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
Metabolic:S_Alternate_Carbon__Butanediol_Metabolism,PPutida_4,1.4331533912740384,1.6135063826862739,4.181794186481911,2.8976502845840924,0.0
