,Gene Name,Model,Experiment,ME
PP_0464,,,,0
PP_0466,,,,0
PP_0465,,,,0
PP_0467,,,,0
PP_0468,,,,0
PP_0470,,,,0
PP_0474,,,,0
PP_0471,,,,0
PP_0469,,,,0
PP_0473,,,,0
PP_0476,,,,0
PP_0479,,,,0
PP_0478,,,,0
PP_0477,,,,0
PP_0480,,,,0
PP_0489,,,,1
PP_0481,,,,1
PP_0492,,,,1
PP_0491,,,,1
PP_0490,,,,1
PP_0494,,,,1
PP_0493,,,,1
PP_0501,,,,0
PP_0495,,,,1
PP_0496,,,,1
PP_0500,,,,1
PP_0518,,,,0
PP_0510,,,,1
PP_0514,,,,0
PP_0516,,,,1
PP_0517,,,,0
PP_0520,,,,0
PP_0528,,,,0
PP_0519,,,,0
PP_0522,,,,1
PP_0524,,,,1
PP_0525,,,,1
PP_0530,,,,1
PP_0527,,,,0
PP_0535,,,,1
PP_0538,,,,1
PP_0542,,,,1
PP_0543,,,,1
PP_0545,,,,1
PP_0548,,,,1
PP_0551,,,,1
PP_0544,,,,1
PP_0547,,,,1
PP_0553,,,,1
PP_0552,,,,1
PP_0555,,,,1
PP_0554,,,,1
PP_0556,,,,1
PP_0560,,,,1
PP_0558,,,,0
PP_0565,,,,1
PP_0559,,,,0
PP_0561,,,,1
PP_0567,,,,1
PP_0572,,,,1
PP_0591,,,,1
PP_0586,,,,1
PP_0597,,,,1
PP_0601,,,,0
PP_0606,,,,0
PP_0596,,,,1
PP_0603,,,,0
PP_0600,,,,0
PP_0602,,,,0
PP_0612,,,,1
PP_0631,,,,0
PP_0623,,,,0
PP_0654,,,,1
PP_0626,,,,1
PP_0652,,,,1
PP_0658,,,,1
PP_0659,,,,1
PP_0662,,,,1
PP_0660,,,,1
PP_0664,,,,1
PP_0665,,,,1
PP_0675,,,,1
PP_0669,,,,1
PP_0687,,,,0
PP_0671,,,,1
PP_0686,,,,1
PP_0713,,,,1
PP_0688,,,,0
PP_0691,,,,1
PP_0718,,,,1
PP_0721,,,,0
PP_0723,,,,0
PP_0732,,,,0
PP_0722,,,,1
PP_0733,,,,0
PP_0735,,,,0
PP_0744,,,,0
PP_0736,,,,1
PP_0745,,,,1
PP_0751,,,,1
PP_0746,,,,1
PP_0762,,,,1
PP_0747,,,,1
PP_0763,,,,1
PP_0777,,,,1
PP_0774,,,,1
PP_0786,,,,1
PP_0789,,,,1
PP_0793,,,,1
PP_0794,,,,1
PP_0808,,,,1
PP_0799,,,,1
PP_0795,,,,1
PP_0809,,,,1
PP_0812,,,,1
PP_0813,,,,1
PP_0814,,,,1
PP_0815,,,,1
PP_0816,,,,1
PP_0817,,,,1
PP_0823,,,,0
PP_0824,,,,1
PP_0825,,,,1
PP_0826,,,,1
PP_0832,,,,1
PP_0827,,,,1
PP_0835,,,,0
PP_0833,,,,1
