,Gene Name,Model,Experiment,ME
PP_4287,,,,1
PP_4291,,,,1
PP_4290,,,,1
PP_4288,,,,1
PP_4293,,,,1
PP_4297,,,,1
PP_4298,,,,1
PP_4299,,,,1
PP_4300,,,,1
PP_4301,,,,1
PP_4302,,,,1
PP_4305,,,,1
PP_4309,,,,1
PP_4310,,,,1
PP_4325,,,,1
PP_4326,,,,1
PP_4379,,,,1
PP_4346,,,,1
PP_4327,,,,1
PP_4401,,,,1
PP_4399,,,,1
PP_4404,,,,1
PP_4402,,,,1
PP_4403,,,,1
PP_4405,,,,1
PP_4421,,,,1
PP_4422,,,,1
PP_4423,,,,1
PP_4425,,,,1
PP_4426,,,,1
PP_4427,,,,1
PP_4430,,,,1
PP_4428,,,,1
PP_4431,,,,1
PP_4432,,,,1
PP_4434,,,,1
PP_4469,,,,1
PP_4473,,,,0
PP_4471,,,,1
PP_4474,,,,0
PP_4477,,,,1
PP_4475,,,,1
PP_4479,,,,1
PP_4478,,,,1
PP_4480,,,,1
PP_4483,,,,1
PP_4484,,,,1
PP_4485,,,,1
PP_4486,,,,1
PP_4490,,,,1
PP_4487,,,,1
PP_4492,,,,1
PP_4491,,,,1
PP_4495,,,,1
PP_4507,,,,1
PP_4523,,,,1
PP_4524,,,,1
PP_4545,,,,1
PP_4547,,,,1
PP_4548,,,,1
PP_4552,,,,1
PP_4550,,,,1
PP_4549,,,,1
PP_4560,,,,1
PP_4570,,,,1
PP_4571,,,,1
PP_4585,,,,0
PP_4591,,,,1
PP_4597,,,,1
PP_4594,,,,1
PP_4600,,,,1
PP_4619,,,,1
PP_4613,,,,1
PP_4617,,,,1
PP_4620,,,,1
PP_4628,,,,0
PP_4621,,,,1
PP_4632,,,,1
PP_4635,,,,1
PP_4636,,,,1
PP_4646,,,,0
PP_4648,,,,0
PP_4643,,,,1
PP_4639,,,,1
PP_4650,,,,1
PP_4651,,,,1
PP_4653,,,,1
PP_4654,,,,0
PP_4655,,,,1
PP_4656,,,,1
PP_4659,,,,1
PP_4667,,,,1
PP_4666,,,,1
PP_4670,,,,1
PP_4679,,,,0
PP_4677,,,,1
PP_4680,,,,0
PP_4683,,,,1
PP_4686,,,,1
PP_4687,,,,1
PP_4698,,,,1
PP_4689,,,,1
PP_4688,,,,1
PP_4701,,,,1
PP_4702,,,,1
PP_4713,,,,0
PP_4709,,,,0
PP_4708,,,,0
PP_4712,,,,0
PP_5706,,,,0
PP_4717,,,,0
PP_4711,,,,0
PP_4716,,,,1
PP_4715,,,,1
PP_4722,,,,0
PP_4719,,,,0
PP_4725,,,,0
PP_4723,,,,1
PP_4726,,,,0
PP_4724,,,,1
PP_4728,,,,0
PP_4735,,,,1
PP_4727,,,,0
PP_4737,,,,1
PP_4736,,,,1
PP_4755,,,,1
PP_4762,,,,1
PP_4758,,,,1
PP_4757,,,,1
PP_4756,,,,1
PP_4784,,,,0
PP_4782,,,,0
PP_4779,,,,1
PP_4774,,,,1
PP_4783,,,,0
PP_4790,,,,1
PP_4801,,,,0
PP_4800,,,,0
PP_4794,,,,0
PP_4799,,,,1
PP_4807,,,,1
PP_4803,,,,1
PP_4805,,,,1
PP_4811,,,,1
PP_4810,,,,0
PP_4817,,,,1
PP_4826,,,,0
PP_4829,,,,0
PP_4827,,,,0
PP_4820,,,,1
PP_4828,,,,0
PP_4830,,,,0
PP_4832,,,,0
PP_4822,,,,0
PP_4823,,,,0
PP_4838,,,,1
PP_4846,,,,1
PP_4841,,,,1
PP_4840,,,,1
PP_4843,,,,1
PP_4845,,,,1
PP_4842,,,,1
PP_4854,,,,1
PP_4844,,,,1
PP_4862,,,,0
PP_4863,,,,1
PP_4864,,,,1
PP_4865,,,,1
PP_4866,,,,1
PP_4868,,,,1
PP_4869,,,,0
PP_4867,,,,1
PP_4876,,,,0
PP_4877,,,,0
PP_4874,,,,0
PP_4879,,,,0
PP_4881,,,,1
PP_4882,,,,1
PP_4900,,,,1
PP_4893,,,,1
PP_4889,,,,0
PP_4897,,,,1
PP_4895,,,,1
PP_4902,,,,0
PP_4908,,,,0
PP_4903,,,,1
PP_4907,,,,1
PP_4934,,,,0
PP_4928,,,,0
PP_4935,,,,0
PP_4936,,,,0
PP_4922,,,,0
PP_4919,,,,1
PP_4944,,,,0
PP_4943,,,,0
PP_4960,,,,1
PP_4946,,,,1
PP_4947,,,,1
PP_4963,,,,1
PP_4965,,,,0
PP_4964,,,,0
PP_4971,,,,1
PP_4967,,,,0
PP_4974,,,,1
PP_4976,,,,0
PP_4977,,,,0
PP_4983,,,,1
PP_4993,,,,0
PP_4985,,,,0
PP_4997,,,,1
PP_5011,,,,0
PP_4998,,,,0
PP_5003,,,,1
PP_4999,,,,0
PP_5005,,,,1
PP_5004,,,,1
PP_5013,,,,0
PP_5014,,,,1
PP_5016,,,,1
PP_5029,,,,1
PP_5018,,,,1
PP_5019,,,,0
PP_5015,,,,0
PP_5030,,,,1
PP_5031,,,,1
PP_5032,,,,1
PP_5033,,,,1
PP_5036,,,,1
PP_5040,,,,1
PP_5053,,,,0
PP_5041,,,,1
PP_5046,,,,0
PP_5054,,,,1
PP_5045,,,,0
PP_5056,,,,1
PP_5061,,,,1
PP_5063,,,,1
PP_5074,,,,0
PP_5069,,,,1
PP_5064,,,,1
PP_5066,,,,1
PP_5078,,,,0
PP_5075,,,,1
PP_5076,,,,1
PP_5084,,,,1
PP_5079,,,,0
PP_5085,,,,1
PP_5089,,,,0
PP_5095,,,,1
PP_5100,,,,1
PP_5104,,,,0
PP_5103,,,,0
PP_5107,,,,1
PP_5105,,,,0
PP_5111,,,,0
PP_5114,,,,0
PP_5127,,,,0
PP_5118,,,,1
PP_5123,,,,0
PP_5120,,,,1
PP_5132,,,,0
PP_5130,,,,1
PP_5136,,,,1
PP_5135,,,,1
PP_5141,,,,0
PP_5137,,,,1
PP_5139,,,,1
PP_5149,,,,1
PP_5150,,,,0
PP_5168,,,,1
PP_5169,,,,1
PP_5170,,,,1
PP_5171,,,,1
PP_5177,,,,1
PP_5178,,,,1
PP_5180,,,,1
PP_5179,,,,1
PP_5182,,,,1
PP_5181,,,,1
PP_5183,,,,1
PP_5184,,,,1
PP_5186,,,,1
PP_5194,,,,1
PP_5193,,,,1
PP_5192,,,,1
PP_5199,,,,0
PP_5195,,,,1
PP_5196,,,,1
PP_5197,,,,1
PP_5203,,,,1
PP_5214,,,,0
PP_5213,,,,1
PP_5216,,,,1
PP_5215,,,,0
PP_5217,,,,1
PP_5222,,,,1
PP_5227,,,,1
PP_5226,,,,1
PP_5246,,,,1
PP_5233,,,,1
PP_5228,,,,1
PP_5250,,,,1
PP_5257,,,,1
PP_5258,,,,1
PP_5256,,,,1
PP_5285,,,,0
PP_5278,,,,1
PP_5286,,,,1
PP_5288,,,,1
PP_5270,,,,1
PP_5273,,,,1
PP_5269,,,,1
PP_5291,,,,0
PP_5301,,,,0
PP_5296,,,,0
PP_5294,,,,1
PP_5298,,,,1
PP_5302,,,,1
PP_5307,,,,1
PP_5299,,,,1
PP_5306,,,,1
PP_5318,,,,0
PP_5308,,,,1
PP_5315,,,,1
PP_5314,,,,1
PP_5317,,,,1
PP_5327,,,,1
PP_5328,,,,1
PP_5326,,,,1
PP_5329,,,,1
PP_5338,,,,1
PP_5340,,,,1
PP_5346,,,,1
PP_5336,,,,0
PP_5341,,,,1
PP_5347,,,,1
PP_5351,,,,1
PP_5357,,,,1
PP_5365,,,,1
PP_5364,,,,1
PP_5366,,,,1
PP_5409,,,,0
PP_5380,,,,1
PP_5374,,,,1
PP_5371,,,,1
PP_5385,,,,1
PP_5411,,,,0
PP_5387,,,,1
PP_5386,,,,1
PP_5388,,,,1
PP_5412,,,,1
PP_5413,,,,1
PP_5415,,,,1
PP_5414,,,,1
PP_5416,,,,1
PP_5417,,,,1
PP_5419,,,,1
PP_5418,,,,1
PP_5420,,,,1
